# plugin	O-Octagon
# uiRoot	Source/ui/public
# generated	2026-08-27T22:00:31.444Z
# NOTE	class is a SUGGESTION WITH A REASON, never a silent drop. Read every UNSURE and every DELETE row.
# source	file	line	selector	attr	class	keyed	suggestedKey	text	reason
html-attr	index.html	703	#vf-3-delay	aria-label	LABEL	no	vf-3-delay	Speaker 3 alignment delay	prose survives the readout filter
html-attr	index.html	708	#vf-label-4	aria-label	LABEL	no	vf-label-4	Speaker 4 channel label	prose survives the readout filter
html-attr	index.html	709	#vf-4-x	aria-label	LABEL	no	vf-4-x	Speaker 4 X metres	prose survives the readout filter
html-attr	index.html	710	#vf-4-y	aria-label	LABEL	no	vf-4-y	Speaker 4 Y metres	prose survives the readout filter
html-attr	index.html	711	#vf-4-z	aria-label	LABEL	no	vf-4-z	Speaker 4 Z metres	prose survives the readout filter
html-attr	index.html	712	#vf-4-trim	aria-label	LABEL	no	vf-4-trim	Speaker 4 trim dB	prose survives the readout filter
html-attr	index.html	713	#vf-4-delay	aria-label	LABEL	no	vf-4-delay	Speaker 4 alignment delay	prose survives the readout filter
html-attr	index.html	718	#vf-label-5	aria-label	LABEL	no	vf-label-5	Speaker 5 channel label	prose survives the readout filter
html-attr	index.html	719	#vf-5-x	aria-label	LABEL	no	vf-5-x	Speaker 5 X metres	prose survives the readout filter
html-attr	index.html	720	#vf-5-y	aria-label	LABEL	no	vf-5-y	Speaker 5 Y metres	prose survives the readout filter
html-attr	index.html	721	#vf-5-z	aria-label	LABEL	no	vf-5-z	Speaker 5 Z metres	prose survives the readout filter
html-attr	index.html	722	#vf-5-trim	aria-label	LABEL	no	vf-5-trim	Speaker 5 trim dB	prose survives the readout filter
html-attr	index.html	723	#vf-5-delay	aria-label	LABEL	no	vf-5-delay	Speaker 5 alignment delay	prose survives the readout filter
html-attr	index.html	728	#vf-label-6	aria-label	LABEL	no	vf-label-6	Speaker 6 channel label	prose survives the readout filter
html-attr	index.html	729	#vf-6-x	aria-label	LABEL	no	vf-6-x	Speaker 6 X metres	prose survives the readout filter
html-attr	index.html	730	#vf-6-y	aria-label	LABEL	no	vf-6-y	Speaker 6 Y metres	prose survives the readout filter
html-attr	index.html	731	#vf-6-z	aria-label	LABEL	no	vf-6-z	Speaker 6 Z metres	prose survives the readout filter
html-attr	index.html	732	#vf-6-trim	aria-label	LABEL	no	vf-6-trim	Speaker 6 trim dB	prose survives the readout filter
html-attr	index.html	733	#vf-6-delay	aria-label	LABEL	no	vf-6-delay	Speaker 6 alignment delay	prose survives the readout filter
html-attr	index.html	738	#vf-label-7	aria-label	LABEL	no	vf-label-7	Speaker 7 channel label	prose survives the readout filter
html-attr	index.html	739	#vf-7-x	aria-label	LABEL	no	vf-7-x	Speaker 7 X metres	prose survives the readout filter
html-attr	index.html	740	#vf-7-y	aria-label	LABEL	no	vf-7-y	Speaker 7 Y metres	prose survives the readout filter
html-attr	index.html	741	#vf-7-z	aria-label	LABEL	no	vf-7-z	Speaker 7 Z metres	prose survives the readout filter
html-attr	index.html	742	#vf-7-trim	aria-label	LABEL	no	vf-7-trim	Speaker 7 trim dB	prose survives the readout filter
html-attr	index.html	743	#vf-7-delay	aria-label	LABEL	no	vf-7-delay	Speaker 7 alignment delay	prose survives the readout filter
html-attr	index.html	748	#vf-label-8	aria-label	LABEL	no	vf-label-8	Speaker 8 channel label	prose survives the readout filter
html-attr	index.html	749	#vf-8-x	aria-label	LABEL	no	vf-8-x	Speaker 8 X metres	prose survives the readout filter
html-attr	index.html	750	#vf-8-y	aria-label	LABEL	no	vf-8-y	Speaker 8 Y metres	prose survives the readout filter
html-attr	index.html	751	#vf-8-z	aria-label	LABEL	no	vf-8-z	Speaker 8 Z metres	prose survives the readout filter
html-attr	index.html	752	#vf-8-trim	aria-label	LABEL	no	vf-8-trim	Speaker 8 trim dB	prose survives the readout filter
html-attr	index.html	753	#vf-8-delay	aria-label	LABEL	no	vf-8-delay	Speaker 8 alignment delay	prose survives the readout filter
html-attr	index.html	764	#vf-rake-front	aria-label	LABEL	no	vf-rake-front	Rake front metres	prose survives the readout filter
html-attr	index.html	766	#vf-rake-rear	aria-label	LABEL	no	vf-rake-rear	Rake rear metres	prose survives the readout filter
html-attr	index.html	783	div.vunit-group	aria-label	LABEL	no	screen-venue.delay-unit-aria-label	Delay unit	prose survives the readout filter
html-attr	index.html	838	#preset-list	aria-label	LABEL	no	preset-list	Preset	prose survives the readout filter
js-prose	js/app.js	372	value.textContent		LABEL	no	ui.on	On	written from a CONDITIONAL expression (ternary / || fallback). Contract §6: the inflection is authored around, not engineered — check-i18n assertion 13 rejects a ternary inside a setLabel argument
js-prose	js/app.js	372	value.textContent		LABEL	no	ui.off	Off	written from a CONDITIONAL expression (ternary / || fallback). Contract §6: the inflection is authored around, not engineered — check-i18n assertion 13 rejects a ternary inside a setLabel argument
js-composed	js/app.js	566	el.textContent		READOUT	no	ui.m-x-tofixed-2	${m.x.toFixed(2)} × ${m.y.toFixed(2)} m	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
js-composed	js/app.js	574	el.textContent		READOUT	no	ui.e-maxx-e-minx	${(e.maxX - e.minX).toFixed(2)} × ${(e.maxY - e.minY).toFixed(2)} m	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
js-composed	js/app.js	630	el.textContent		LABEL	no	ui.copy-speaker-speaker-1	${copy} — speaker ${speaker + 1}	written from a CONDITIONAL expression (ternary / || fallback). Contract §6: the inflection is authored around, not engineered — check-i18n assertion 13 rejects a ternary inside a setLabel argument
js-prose	js/app.js	667	monitorCopy.textContent		LABEL	no	ui.suppressed-for-offline-render	Suppressed for offline render — bounce is clean	written from a CONDITIONAL expression (ternary / || fallback). Contract §6: the inflection is authored around, not engineered — check-i18n assertion 13 rejects a ternary inside a setLabel argument
js-prose	js/app.js	668	monitorCopy.textContent		LABEL	no	ui.headphone-fold-rig-outputs	Headphone fold — rig outputs muted	written from a CONDITIONAL expression (ternary / || fallback). Contract §6: the inflection is authored around, not engineered — check-i18n assertion 13 rejects a ternary inside a setLabel argument
js-prose	js/app.js	686	monitorNode.textContent		LABEL	no	ui.unavailable-on-this-output	unavailable on this output	written from a CONDITIONAL expression (ternary / || fallback). Contract §6: the inflection is authored around, not engineered — check-i18n assertion 13 rejects a ternary inside a setLabel argument
js-prose	js/app.js	688	monitorNode.textContent		LABEL	no	ui.armed-suppressed-offline	armed — suppressed offline	written from a CONDITIONAL expression (ternary / || fallback). Contract §6: the inflection is authored around, not engineered — check-i18n assertion 13 rejects a ternary inside a setLabel argument
js-prose	js/app.js	688	monitorNode.textContent		LABEL	no	ui.folding-to-outputs-1	folding to outputs 1–2	written from a CONDITIONAL expression (ternary / || fallback). Contract §6: the inflection is authored around, not engineered — check-i18n assertion 13 rejects a ternary inside a setLabel argument
js-prose	js/app.js	689	monitorNode.textContent		LABEL	no	ui.off-2	off	written from a CONDITIONAL expression (ternary / || fallback). Contract §6: the inflection is authored around, not engineered — check-i18n assertion 13 rejects a ternary inside a setLabel argument
js-composed	js/elevation.js	325	earOut.textContent		READOUT	no	ui.earm-tofixed-2-m	${earM.toFixed(2)} m	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
js-composed	js/elevation.js	326	srcOut.textContent		READOUT	no	ui.srcm-tofixed-2-m	${srcM.toFixed(2)} m	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
js-composed	js/roomplan.js	409	value.textContent		READOUT	no	ui.out-1-out-outbadges	→${out >= 1 && out <= outBadges.length ? out : "?"}	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
js-composed	js/venue.js	593	value.textContent		READOUT	no	ui.string-state-mode-lit	${String(state.mode ?? "")} ${lit}	no two-letter run survives once interpolations, numbers and unit tokens are removed (D-03)
js-prose	js/venue.js	683	monitorNode.textContent		LABEL	no	ui.unavailable-on-this-output-2	unavailable on this output	prose survives the readout filter
js-prose	js/venue.js	704	value.textContent		LABEL	no	ui.direct	direct	written from a CONDITIONAL expression (ternary / || fallback). Contract §6: the inflection is authored around, not engineered — check-i18n assertion 13 rejects a ternary inside a setLabel argument
js-prose	js/venue.js	704	value.textContent		LABEL	no	ui.direct-1-8	direct 1–8	written from a CONDITIONAL expression (ternary / || fallback). Contract §6: the inflection is authored around, not engineered — check-i18n assertion 13 rejects a ternary inside a setLabel argument
js-prose	js/venue.js	704	value.textContent		LABEL	no	ui.roles	roles	written from a CONDITIONAL expression (ternary / || fallback). Contract §6: the inflection is authored around, not engineered — check-i18n assertion 13 rejects a ternary inside a setLabel argument
