# plugin	O-MicrotonalSampler
# uiRoot	Resources/ui
# generated	2026-08-30T05:56:25.021Z
# NOTE	class is a SUGGESTION WITH A REASON, never a silent drop. Read every UNSURE and every DELETE row.
# source	file	line	selector	attr	class	keyed	suggestedKey	text	reason
html-text	index.html	385	#diagnostic-dialog-hint		LABEL	no	diagnostic-dialog-hint	Auto-copied to clipboard. Select the text below and ⌘C if it wasn't.	prose survives the readout filter
html-text	index.html	391	#diagnostic-copy-btn		LABEL	no	diagnostic-copy-btn	Copy again	prose survives the readout filter
html-text	index.html	392	#diagnostic-close-btn		LABEL	no	diagnostic-close-btn	Close	prose survives the readout filter
html-text	index.html	406	#missing-folder-dialog-title		LABEL	no	missing-folder-dialog-title	Sample folder not found	prose survives the readout filter
html-text	index.html	412	#missing-folder-skip-btn		LABEL	no	missing-folder-skip-btn	Skip	prose survives the readout filter
html-text	index.html	413	#missing-folder-locate-btn		LABEL	no	missing-folder-locate-btn	Locate folder…	prose survives the readout filter
html-text	index.html	426	#rr-confirm-dialog-title		LABEL	no	rr-confirm-dialog-title	Multiple samples for the same note	prose survives the readout filter
html-text	index.html	429	p.confirm-dialog-message		UNSURE	no	rr-confirm-dialog.the-folder-contains-more	The folder contains more than one sample for the same note and velocity layer, without explicit	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	431	code		LABEL	no	rr-confirm-dialog.rr	rr	prose survives the readout filter
html-text	index.html	431	code		LABEL	no	rr-confirm-dialog.take	take	prose survives the readout filter
html-text	index.html	432	code		LABEL	no	rr-confirm-dialog.tk	tk	prose survives the readout filter
html-text	index.html	432	p.confirm-dialog-message		UNSURE	no	rr-confirm-dialog.tokens-in-the-filenames	tokens in the filenames. Treat them as round-robin variants?	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	437	#rr-confirm-cancel		LABEL	no	rr-confirm-cancel	Cancel load	prose survives the readout filter
html-text	index.html	438	#rr-confirm-accept		LABEL	no	rr-confirm-accept	Treat as variants	prose survives the readout filter
html-text	index.html	455	#folder-load-options-title		LABEL	no	folder-load-options-title	Load samples	prose survives the readout filter
html-text	index.html	458	span.flo-label		LABEL	no	folder-load-options-dialog.layer	Layer	prose survives the readout filter
html-text	index.html	468	span.flo-label		LABEL	no	folder-load-options-dialog.technique	Technique	prose survives the readout filter
html-text	index.html	475	span.flo-label		LABEL	no	folder-load-options-dialog.when-loading	When loading	prose survives the readout filter
html-text	index.html	479	span		LABEL	no	folder-load-options-dialog.add-to-layer	Add to layer	prose survives the readout filter
html-text	index.html	483	span		LABEL	no	folder-load-options-dialog.replace-this-layer	Replace this layer	prose survives the readout filter
html-text	index.html	487	span		LABEL	no	folder-load-options-dialog.replace-all-samples	Replace all samples	prose survives the readout filter
html-text	index.html	491	span		LABEL	no	folder-load-options-dialog.layer-as-round-robin	Layer as round-robin	prose survives the readout filter
html-text	index.html	499	span.flo-override-title		LABEL	no	folder-load-options-dialog.force-all-samples-onto	Force all samples onto this layer	prose survives the readout filter
html-text	index.html	500	span.flo-override-sub		UNSURE	no	folder-load-options-dialog.otherwise-filename-tokens	Otherwise filename tokens (	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	500	code		LABEL	no	folder-load-options-dialog.ff	_ff	prose survives the readout filter
html-text	index.html	500	span.flo-override-sub		UNSURE	no	folder-load-options-dialog.etc-decide-the-layer	, etc.) decide the layer	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	507	span.flo-override-title		LABEL	no	folder-load-options-dialog.force-all-samples-onto-2	Force all samples onto this technique	prose survives the readout filter
html-text	index.html	508	span.flo-override-sub		UNSURE	no	folder-load-options-dialog.otherwise-filename-tokens-2	Otherwise filename tokens (	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	508	code		LABEL	no	folder-load-options-dialog.pizz	_pizz	prose survives the readout filter
html-text	index.html	508	code		LABEL	no	folder-load-options-dialog.harm	_harm	prose survives the readout filter
html-text	index.html	508	span.flo-override-sub		UNSURE	no	folder-load-options-dialog.etc-decide-the-technique	, etc.) decide the technique	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	520	span		LABEL	no	folder-load-options-dialog.embed-audio-in-project	Embed audio in project state	prose survives the readout filter
html-text	index.html	527	#flo-cancel-btn		LABEL	no	flo-cancel-btn	Cancel	prose survives the readout filter
html-text	index.html	528	#flo-confirm-btn		LABEL	no	flo-confirm-btn	Load…	prose survives the readout filter
html-text	index.html	542	#embed-size-confirm-title		LABEL	no	embed-size-confirm-title	Embed audio in project?	prose survives the readout filter
html-text	index.html	546	p.confirm-dialog-message.embed-size-confirm-detail		LABEL	no	embed-size-confirm-dialog.the-audio-data-will	The audio data will be written into your DAW project file. Project saves and reopens will be slower for large libraries, but the samples will travel with the project across folders and machines.	prose survives the readout filter
html-text	index.html	553	#embed-size-cancel-btn		LABEL	no	embed-size-cancel-btn	Cancel	prose survives the readout filter
html-text	index.html	554	#embed-size-confirm-btn		LABEL	no	embed-size-confirm-btn	Embed and load	prose survives the readout filter
html-text	index.html	570	#per-cell-merge-title		LABEL	no	per-cell-merge-title	Cell already has samples	prose survives the readout filter
html-text	index.html	573	#per-cell-merge-cancel-btn		LABEL	no	per-cell-merge-cancel-btn	Cancel	prose survives the readout filter
html-text	index.html	574	#per-cell-merge-replace-btn		LABEL	no	per-cell-merge-replace-btn	Replace cell	prose survives the readout filter
html-text	index.html	575	#per-cell-merge-merge-btn		LABEL	no	per-cell-merge-merge-btn	Add as round-robin	prose survives the readout filter
html-text	index.html	587	#technique-rename-title		LABEL	no	technique-rename-title	Rename technique	prose survives the readout filter
html-text	index.html	590	p.confirm-dialog-message		UNSURE	no	technique-rename-dialog.slot	Slot	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	591	p.confirm-dialog-message		UNSURE	no	technique-rename-dialog.enter-a-new-name	: enter a new name. Names appear in the tab strip and Dorico expression maps.	the element holds element children as well as this text — key the text in its own <span>, or applyLabel will delete the siblings
html-text	index.html	598	#technique-rename-cancel		LABEL	no	technique-rename-cancel	Cancel	prose survives the readout filter
html-text	index.html	599	#technique-rename-save		LABEL	no	technique-rename-save	Save	prose survives the readout filter
html-text	index.html	614	h2.about-title		LABEL	no	about-content.o-microtonalsampler	O-MicrotonalSampler	prose survives the readout filter
html-text	index.html	616	p.about-tagline		LABEL	no	about-content.microtonal-sample-engine-for	Microtonal sample engine for Dorico microtonal playback.	prose survives the readout filter
html-text	index.html	619	p.about-blurb		LABEL	no	about-content.per-key-per-velocity	Per-key, per-velocity-layer sample mapping with offline loop auto-detection, manual loop editing, and the Ouaricon tuning-system family. Built on JUCE 8.	prose survives the readout filter
html-text	index.html	625	span		LABEL	no	about-content.made-by	Made by	prose survives the readout filter
html-text	index.html	629	a.about-link		LABEL	no	about-content.ouaricon	Ouaricon	prose survives the readout filter
html-attr	index.html	65	#save-preset-btn	title	LABEL	no	save-preset-btn-2	Save plugin state to .omspreset	native title= is the only help this element has — move the text to data-i18n-aria (contract §4)
html-attr	index.html	67	#load-preset-btn	title	LABEL	no	load-preset-btn-2	Load plugin state from .omspreset	native title= is the only help this element has — move the text to data-i18n-aria (contract §4)
html-attr	index.html	100	#technique-preset-select	title	LABEL	no	technique-preset-select	Rename all technique slots to match a Dorico instrument family (slot order matches the keyswitch order in the O-MicrotonalSampler expression maps)	native title= is the only help this element has — move the text to data-i18n-aria (contract §4)
html-attr	index.html	110	#technique-tabs	aria-label	LABEL	no	technique-tabs	Playing techniques	prose survives the readout filter
html-attr	index.html	114	#technique-add	title	LABEL	no	technique-add	Add technique slot	native title= is the only help this element has — move the text to data-i18n-aria (contract §4)
html-attr	index.html	116	#technique-remove	title	LABEL	no	technique-remove	Remove last technique slot	native title= is the only help this element has — move the text to data-i18n-aria (contract §4)
html-attr	index.html	215	#trim-tech-slider	aria-label	LABEL	no	trim-tech-slider	Technique master trim (dB)	prose survives the readout filter
html-attr	index.html	223	#trim-layer-slider-0	aria-label	LABEL	no	trim-layer-slider-0	Layer p trim (dB)	prose survives the readout filter
html-attr	index.html	230	#trim-layer-slider-1	aria-label	LABEL	no	trim-layer-slider-1	Layer mp trim (dB)	prose survives the readout filter
html-attr	index.html	237	#trim-layer-slider-2	aria-label	LABEL	no	trim-layer-slider-2	Layer mf trim (dB)	prose survives the readout filter
html-attr	index.html	244	#trim-layer-slider-3	aria-label	LABEL	no	trim-layer-slider-3	Layer f trim (dB)	prose survives the readout filter
html-attr	index.html	291	#loop-close	aria-label	LABEL	no	loop-close	Close loop editor	prose survives the readout filter
html-attr	index.html	459	#flo-layer-select	aria-label	LABEL	no	flo-layer-select	Target velocity layer	prose survives the readout filter
html-attr	index.html	469	#flo-technique-select	aria-label	LABEL	no	flo-technique-select	Target technique slot	prose survives the readout filter
js-prose	js/sampler-app.js	671	container.innerHTML		LABEL	no	ui.tuning-panel-unavailable	Tuning panel unavailable.	prose survives the readout filter
js-composed	js/sampler-app.js	786	issues.querySelector('summary').textContent		LABEL	no	ui.issues-skipped-length-file	Issues (${skipped.length} file${skipped.length === 1 ? '' : 's'} skipped)	prose sits OUTSIDE the interpolation — needs a {token} entry, not a flat one
js-prose	js/sampler-app.js	1355	startUnit.textContent		UNIT	no	ui.ms	ms	unit symbol, language-neutral (D-03)
