# plugin	O-Prism
# params	173
# note	defaultNorm is NORMALISED 0..1; numSteps 2147483647 means continuous
#id	name	label	numSteps	textAtMin	textAtMax	defaultNorm	defaultText	flags
modSlot12On	Mod 13 Enabled		2	Off	On	0.000000	Off	automatable,discrete,boolean
modSlot13Src	Mod 14 Source		11	None	Aftertouch	0.000000	None	automatable,discrete
modSlot13Dst	Mod 14 Dest		26	None	OscB Warp	0.000000	None	automatable,discrete
modSlot13Amt	Mod 14 Amount		2147483647	-1.00	1.00	0.500000	-0.00	automatable
modSlot13On	Mod 14 Enabled		2	Off	On	0.000000	Off	automatable,discrete,boolean
modSlot14Src	Mod 15 Source		11	None	Aftertouch	0.000000	None	automatable,discrete
modSlot14Dst	Mod 15 Dest		26	None	OscB Warp	0.000000	None	automatable,discrete
modSlot14Amt	Mod 15 Amount		2147483647	-1.00	1.00	0.500000	-0.00	automatable
modSlot14On	Mod 15 Enabled		2	Off	On	0.000000	Off	automatable,discrete,boolean
modSlot15Src	Mod 16 Source		11	None	Aftertouch	0.000000	None	automatable,discrete
modSlot15Dst	Mod 16 Dest		26	None	OscB Warp	0.000000	None	automatable,discrete
modSlot15Amt	Mod 16 Amount		2147483647	-1.00	1.00	0.500000	-0.00	automatable
modSlot15On	Mod 16 Enabled		2	Off	On	0.000000	Off	automatable,discrete,boolean
masterVol	Master Volume		2147483647	0.000	1.000	0.800000	0.800	automatable
stereoWidth	Stereo Width		2147483647	0.000	2.000	0.500000	1.000	automatable
oscMix	Osc Mix		2147483647	0.000	1.000	0.500000	0.500	automatable
velocityCurve	Velocity Curve		4	Linear	Fixed	0.000000	Linear	automatable,discrete
